id,active,status,first_name,last_name,team_code,team_id,position,height,weight,birth_date,age,depth_order,college,experience,injury_status,injury_body_part,injury_notes,injury_start_date,draftkings_name,fanduel_name,fantasydraft_name,yahoo_name,draftkings_player_id,fanduel_player_id,fantasyalarm_player_id,fantasydraft_player_id,rotowire_player_id,rotoworld_player_id,sportsdata_player_id,sportsdirect_player_id,sportsradar_player_id,stats_player_id,usatoday_player_id,yahoo_player_id,updated_at
103202,f,Inactive,John,Keenoy,"",0,C,"6''3'"",300,1997-02-26 00:00:00,24,3,Western Michigan,1,,,,0001-01-01 00:00:00,,,,,,,307203,,13717,,21193,91628,,,6498104,32144,2021-11-19 15:11:37.767201
104230,f,Inactive,Paul,Butler,"",0,TE,"6''6'"",250,1993-04-26 00:00:00,28,0,California (PA),1,,,,0001-01-01 00:00:00,Paul Butler,Paul Butler,Paul Butler,Paul Butler,1116182,83253,306570,1116182,13169,,20589,132807,,1116182,6498986,31515,2021-11-19 15:11:38.892869
104163,f,Inactive,Connor,Slomka,"",0,RB,"6''0'"",240,1997-05-30 00:00:00,24,1,Army,0,,,,0001-01-01 00:00:00,Connor Slomka,Connor Slomka,,,924739,72063,308634,,14953,,21813,120573,,,6266814,33143,2021-11-19 15:11:49.247804
104338,f,Inactive,Daniel,Kilgore,"",0,C,"6''3'"",291,1987-12-18 00:00:00,33,2,Appalachian State,11,,,,0001-01-01 00:00:00,,,,,,,300311,,7614,6669,13444,51033,,,8257256,24950,2021-11-19 15:10:58.02416
100135,t,Active,Jeffery,Simmons,"",34,DE,"6''4'"",301,1997-07-28 00:00:00,24,1,Mississippi State,3,Questionable,Ankle,Simmons did not practice on Thursday heading into Week 11 versus the Texans.,2021-11-17 00:00:00,,,,,,,306750,,13465,14008,20940,119613,,,8255036,31851,2021-11-19 15:13:00.624433
100445,t,Active,Kellen,Mond,"",20,QB,"6''3'"",211,1999-06-22 00:00:00,22,2,Texas A&M,0,,,,0001-01-01 00:00:00,Kellen Mond,Kellen Mond,,Kellen Mond,974492,94797,,,15470,,21817,128828,,,8273951,33454,2021-11-19 15:13:42.461801
100123,t,Practice Squad,Myles,Dorn,"",20,S,"6''2'"",205,1998-06-25 00:00:00,23,0,North Carolina,2,,,,0001-01-01 00:00:00,,,,,,,307976,,14598,,22353,121172,,,8247990,33029,2021-11-19 15:13:43.198974
101923,t,Active,Garret,Wallow,"",13,LB,"6''1'"",230,1999-01-25 00:00:00,22,1,TCU,0,,,,0001-01-01 00:00:00,,,,,,,,,15602,,22761,129099,,,8275022,33558,2021-11-19 15:13:06.807503
104340,f,Inactive,Keith,Reaser,"",0,CB,"6''0'"",190,1991-07-31 04:00:00,30,0,Florida Atlantic,3,,,,0001-01-01 00:00:00,,,,,,,300597,,9611,9679,16675,43965,,502877,6496776,27698,2021-09-29 00:04:20.895493
101391,t,Active,Jonathan,Taylor,"",14,RB,"5''11'"",219,1999-01-19 00:00:00,22,1,Wisconsin,2,,,,0001-01-01 00:00:00,Jonathan Taylor,Jonathan Taylor,,Jonathan Taylor,1065406,89675,307856,,14455,,21682,126652,,,8255150,32711,2021-11-19 15:12:31.865815
104446,t,Active,Kwon,Alexander,"",22,OLB,"6''1'"",227,1994-08-03 00:00:00,27,1,LSU,7,,,,0001-01-01 00:00:00,Kwon Alexander,,,Kwon Alexander,651006,,303590,,10360,10510,16885,60394,,,8275225,28512,2021-11-19 15:13:58.910998
102127,t,Injured Reserve,Jeremiah,Attaochu,"",6,OLB,"6''3'"",252,1993-01-17 00:00:00,28,0,Georgia Tech,8,Out,Pectoral,Attaochu will miss the remainder of the 2021-22 season.,2021-10-10 00:00:00,,,,,,,302036,,9343,9529,16334,46719,,553580,8274064,27578,2021-11-19 15:12:35.003581
101699,f,Inactive,Shyheim,Carter,"",0,DB,"5''10'"",194,1997-12-15 00:00:00,23,0,Alabama,1,,,,0001-01-01 00:00:00,,,,,,,307950,,14733,,21920,119093,,,8274977,33331,2021-11-19 15:11:49.66188
100036,t,Practice Squad,Elijah,Sullivan,"",16,LB,"6''0'"",215,1997-05-13 00:00:00,24,0,Kansas State,0,,,,0001-01-01 00:00:00,,,,,,,,,15647,,23019,90771,,,8274252,33829,2021-11-19 15:14:11.692924
100007,f,Inactive,Bennett,Jackson,"",0,CB,"6''0'"",192,1991-09-16 00:00:00,30,3,Notre Dame,4,,,,0001-01-01 00:00:00,,,,,,,300358,,9671,,16396,49633,,,8254785,27715,2021-11-19 15:11:12.249099
103331,f,Inactive,Cordrea,Tankersley,"",0,CB,"6''1'"",200,1993-11-19 00:00:00,28,2,Clemson,3,,,,0001-01-01 00:00:00,,,,,,,305066,,12033,,18980,72641,,653111,7723350,30210,2021-11-19 15:11:17.575102
104064,f,Inactive,Jordan,Ta'amu,"",0,QB,"6''3'"",214,1997-12-10 00:00:00,23,6,Mississippi,1,,,,0001-01-01 00:00:00,Jordan Ta'amu,Jordan Ta'amu,Jordan Ta'amu,Jordan Ta'amu,974470,88602,307559,974470,13629,14821,21612,126866,,974470,8275396,32642,2021-11-19 15:11:46.251741
100008,t,Active,Tyron,Smith,"",9,OT,"6''5'"",320,1990-12-12 00:00:00,30,1,USC,11,Questionable,Ankle,Smith was limited in practice on Thursday heading into Week 11 versus the Chiefs.,2021-11-03 00:00:00,,,,,,,300670,,7349,6441,13129,37665,,,8250948,24796,2021-11-19 15:14:15.149067
100615,t,Active,Deshazor,Everett,"",35,FS,"6''0'"",203,1992-02-22 00:00:00,29,2,Texas A&M,7,,,,0001-01-01 00:00:00,,,,,,,303576,,10701,,17111,54202,,,8249977,28785,2021-11-19 15:12:51.099141
100022,f,Inactive,Alex,Lewis,"",0,G,"6''6'"",305,1992-04-21 00:00:00,29,0,Nebraska,6,,,,0001-01-01 00:00:00,,,,,,,304056,,11110,11440,18051,53675,,,8254794,29364,2021-11-19 15:11:19.953618
