,race__race_name,start_lap,end_lap,reason,comment
0,Drydene 400,37,40,Competition,Competition 
1,Drydene 400,121,129,Debris,Debris Turn 1 / Stage 1 Conclusion
2,Drydene 400,172,176,Accident,#77 Incident Turn 2
3,Drydene 400,242,248,Competition,Stage 2 Conclusion
4,Drydene 400,303,308,Accident,#10 Incident Turn 4
5,Drydene 400,315,319,Accident,"#2, 38, 47 Incident Turn 2"
6,Drydene 400,326,330,Debris,Debris On Fronstretch
7,Hollywood Casino 400,11,15,Weather,Weather (Red Flag:15:46)
8,Hollywood Casino 400,24,27,Accident,#18 Incident in Turn 1 
9,Hollywood Casino 400,82,86,Competition,Stage 1 Conclusion
10,Hollywood Casino 400,162,167,Competition,Stage 2 Conclusion
11,Hollywood Casino 400,174,178,Accident,#38 Incident on the Frontstretch
12,Hollywood Casino 400,219,222,Spin,#6 Spin in Turn 2
13,Hollywood Casino 400,225,228,Accident,#3 and 12 Incident in Turn 2
14,United Rentals 176,9,10,Accident,#45 Incident Turn 1
15,United Rentals 176,22,23,Competition,Stage 1 Conclusion
16,United Rentals 176,47,49,Competition,Stage 2 Conclusion
17,United Rentals 176,55,56,Accident,"#19, #23 Incident Inner Loop"
18,United Rentals 176,61,61,Unknown,Lightning
19,Lucas Oil 150,13,18,Accident,#45 Incident Frontstretch
20,Lucas Oil 150,47,53,Competition,Stage 1 Conclusion
21,Lucas Oil 150,92,99,Competition,Stage 2 Conclusion
22,Lucas Oil 150,102,105,Unknown,#12 Stopped On Track
23,Andy’s Frozen Custard 335,22,25,Competition,Competition Caution
24,Andy’s Frozen Custard 335,27,30,Unknown,#4 Stalled Turn 4
25,Andy’s Frozen Custard 335,41,44,Unknown,#17 Stalled Turn 4
26,Andy’s Frozen Custard 335,47,51,Competition,Stage 1 Conclusion
27,Andy’s Frozen Custard 335,56,61,Debris,Debris on track
28,Andy’s Frozen Custard 335,65,68,Spin,#39 Spin Turn 2
29,Andy’s Frozen Custard 335,92,97,Competition,Stage 2 Conclusion
30,Andy’s Frozen Custard 335,101,108,Accident,"#23, 26, 48 Incident Turn 2"
31,Andy’s Frozen Custard 335,143,149,Spin,#74 Spin Frontstretch
32,Andy’s Frozen Custard 335,174,179,Accident,#68 Incident Backstretch
33,Call 811 Before You Dig 200 presented by Arizona 811,69,76,Unknown,#9 Fire
34,Call 811 Before You Dig 200 presented by Arizona 811,92,98,Competition,Stage 2 Conclusion
35,Call 811 Before You Dig 200 presented by Arizona 811,125,129,Accident,"#44, 6 Incident Turn 2"
36,Call 811 Before You Dig 200 presented by Arizona 811,133,137,Spin,#20 Spin Turn 2
37,Call 811 Before You Dig 200 presented by Arizona 811,141,144,Spin,#02 Spin Frontstretch
38,Call 811 Before You Dig 200 presented by Arizona 811,149,154,Accident,"#8, #23 Incident Backstretch"
39,Call 811 Before You Dig 200 presented by Arizona 811,167,171,Accident,"#16, #19 Incident Backstretch"
40,Call 811 Before You Dig 200 presented by Arizona 811,193,198,Accident,#36 Incident Turn 4
41,Skrewball Peanut Butter Whiskey 200,5,7,Accident,#6 Incident Turn 5
42,Skrewball Peanut Butter Whiskey 200,12,12,Competition,Competition Caution
43,Skrewball Peanut Butter Whiskey 200,22,24,Competition,Stage 1 Conclusion
44,Skrewball Peanut Butter Whiskey 200,35,36,Unknown,#36 Stopped on Track
