,qb,rb1,rb2,rb3,wr1,wr2,wr3,wr4,wr5,te1,te2,k,dst,opp qb,opp rb1,opp rb2,opp rb3,opp wr1,opp wr2,opp wr3,opp wr4,opp wr5,opp te1,opp te2,opp k,opp dst
qb,1,0.156364554,-0.025622789,-0.047290854,0.395662991,0.364357128,0.330832863,0.187754957,0.013339649,0.183865513,-0.006143195,0.1,0.030136046,0.219772547,0.022877149,-0.042254506,-0.084554648,0.114238494,0.159926422,0.076309881,-0.086595947,-0.058950959,0.064381942,-0.055769524,-0.03,-0.397347156
rb1,0.156364554,1,-0.137233508,-0.252216559,0.026593258,0.027875758,0.064820146,-0.0262631,-0.115985959,-0.018293885,0.023682188,0.06,0.128683363,0.022877149,0.029949166,-0.107077606,-0.080296829,0.014335009,0.005679012,-0.015510611,0.066518934,-0.02437229,0.034273418,-0.059853281,-0.07,-0.320678638
rb2,-0.025622789,-0.137233508,1,-0.033380809,-0.010802295,-0.112524132,-0.014623944,0.037254986,-0.006049186,-0.03176296,0.195399455,0.06,0.119572789,-0.042254506,-0.107077606,-0.048468302,-0.068982584,-0.032668594,0.026851079,0.023044031,-0.113060384,-0.08465442,0.054172222,0.102244186,-0.08,-0.095875703
rb3,-0.047290854,-0.252216559,-0.033380809,1,-0.002833968,-0.077012279,-0.086178528,0.11629578,0.267065432,-0.014440459,-0.131125951,0.06,0.093492076,-0.084554648,-0.080296829,-0.068982584,0.059108537,-0.018842836,-0.119017444,-0.024261736,-0.028969488,0.152765554,0.050210399,-0.01414765,-0.09,0.000244161
wr1,0.395662991,0.026593258,-0.010802295,-0.002833968,1,0.125162634,0.067845189,0.017432,-0.062018835,-0.104410804,0.006794009,0.05,-0.002987031,0.114238494,0.014335009,-0.032668594,-0.018842836,0.140113574,0.037074444,0.004750628,-0.025746297,0.045955663,0.075464549,-0.009529751,0.01,-0.164206271
wr2,0.364357128,0.027875758,-0.112524132,-0.077012279,0.125162634,1,0.085892858,-0.120716756,-0.056426402,-0.046578742,-0.090812219,0,-0.033680161,0.159926422,0.005679012,0.026851079,-0.119017444,0.037074444,0.019208598,0.07054341,0.043805032,-0.031049419,0.164831836,-0.033543697,0.07,-0.062845953
wr3,0.330832863,0.064820146,-0.014623944,-0.086178528,0.067845189,0.085892858,1,0.088444998,-0.07949728,-0.040075972,-0.188363131,0.01,-0.048763222,0.076309881,-0.015510611,0.023044031,-0.024261736,0.004750628,0.07054341,-0.070151133,0.064683086,-0.034766927,-0.043760481,-0.028422312,-0.01,-0.080175488
wr4,0.187754957,-0.0262631,0.037254986,0.11629578,0.017432,-0.120716756,0.088444998,1,0.178735866,-0.050869662,-0.106065181,0,-0.003072333,-0.086595947,0.066518934,-0.113060384,-0.028969488,-0.025746297,0.043805032,0.064683086,0.001621088,0.001755578,-0.042991205,-0.050022028,-0.01,-0.072622681
wr5,0.013339649,-0.115985959,-0.006049186,0.267065432,-0.062018835,-0.056426402,-0.07949728,0.178735866,1,0.002602843,0.007106628,0,0.0337289,-0.058950959,-0.02437229,-0.08465442,0.152765554,0.045955663,-0.031049419,-0.034766927,0.001755578,0.004425364,-0.127643524,-0.040369992,-0.01,0.040538065
te1,0.183865513,-0.018293885,-0.03176296,-0.014440459,-0.104410804,-0.046578742,-0.040075972,-0.050869662,0.002602843,1,-0.103106433,0.05,-0.037125683,0.064381942,0.034273418,0.054172222,0.050210399,0.075464549,0.164831836,-0.043760481,-0.042991205,-0.127643524,0.014241192,-0.066791628,0,-0.028372579
