,race_name,num_infractions
0,DAYTONA 500,23
1,Pennzoil 400 presented by Jiffy Lube,20
2,Dixie Vodka 400,7
3,Instacart 500,20
4,Folds of Honor QuikTrip 500,15
5,Goodyear 400,9
6,Coca-Cola 600,8
7,Food City Dirt Race,16
8,Quaker State 400 presented by Walmart,12
9,Blue-Emu Maximum Pain Relief 500,21
10,O’Reilly Auto Parts 253 At DAYTONA,13
11,GEICO 500,34
12,Pocono Organics CBD 325,23
13,Explore the Pocono Mountains 350,13
14,Buschy McBusch Race 400,21
15,Foxwoods Resort Casino 301,10
16,FireKeepers Casino 400,10
17,EchoPark Texas Grand Prix,15
18,Drydene 400,23
19,Ally 400,28
20,Coke Zero Sugar 400,36
21,TOYOTA OWNERS 400,12
22,Bass Pro Shops Night Race,16
23,Toyota / Save Mart 350,11
24,Autotrader EchoPark Automotive 500,49
25,Jockey Made in America 250 Presented by Kwik Trip,11
26,Xfinity 500,22
27,Go Bowling at The Glen,9
28,Verizon 200 at the Brickyard,17
29,Cook Out Southern 500,18
30,Federated Auto Parts 400 Salute to First Responders,22
31,South Point 400,15
32,YellaWood 500,12
33,Bank of America ROVAL 400,33
34,Hollywood Casino 400,28
35,NASCAR Cup Series Championship,11
