,qb,rb1,rb2,wr1,wr2,wr3,te,dst,opp qb,opp rb1,opp rb2,opp wr1,opp wr2,opp wr3,opp te,opp dst,,qb,rb1,rb2,wr1,wr2,wr3,te,dst,opp qb,opp rb1,opp rb2,opp wr1,opp wr2,opp wr3,opp te,opp dst
qb,1,0.15,0.12,0.4,0.33,0.27,0.33,-0.03,0.29,0.09,0.04,0.12,0.19,0.17,0.17,-0.37,qb,1,0.06,0.048,0.16,0.132,0.108,0.132,-0.012,0.116,0.036,0.016,0.048,0.076,0.068,0.068,-0.148
rb1,0.15,1,-0.07,0.06,0.05,0.03,0.03,0.06,0.09,0.05,0.01,0.1,0.08,0.04,0.04,-0.22,rb1,0.06,1,-0.028,0.024,0.02,0.012,0.012,0.024,0.036,0.02,0.004,0.04,0.032,0.016,0.016,-0.088
rb2,0.12,-0.07,1,0.05,-0.02,0.06,0.09,0.06,0.04,0.01,-0.01,0.01,0,0,0.08,-0.09,rb2,0.048,-0.028,1,0.02,-0.008,0.024,0.036,0.024,0.016,0.004,-0.004,0.004,0,0,0.032,-0.036
wr1,0.4,0.06,0.05,1,-0.03,-0.04,0.11,-0.05,0.12,0.1,0.01,0.02,0.12,0.09,0.08,-0.14,wr1,0.16,0.024,0.02,1,-0.012,-0.016,0.044,-0.02,0.048,0.04,0.004,0.008,0.048,0.036,0.032,-0.056
wr2,0.33,0.05,-0.02,-0.03,1,-0.01,-0.01,-0.04,0.19,0.08,0,0.12,0.05,0.05,0.05,-0.16,wr2,0.132,0.02,-0.008,-0.012,1,-0.004,-0.004,-0.016,0.076,0.032,0,0.048,0.02,0.02,0.02,-0.064
wr3,0.27,0.03,0.06,-0.04,-0.01,1,-0.01,-0.04,0.18,0.07,0,0.09,0.02,0.02,0.09,-0.15,wr3,0.108,0.012,0.024,-0.016,-0.004,1,-0.004,-0.016,0.072,0.028,0,0.036,0.008,0.008,0.036,-0.06
te,0.33,0.03,0.09,0.11,-0.01,-0.01,1,-0.06,0.17,0.04,0.08,0.08,0.05,0.03,0.12,-0.11,te,0.132,0.012,0.036,0.044,-0.004,-0.004,1,-0.024,0.068,0.016,0.032,0.032,0.02,0.012,0.048,-0.044
dst,-0.03,0.06,0.06,-0.05,-0.04,-0.04,-0.06,1,-0.37,-0.22,-0.09,-0.14,-0.16,-0.15,-0.11,-0.12,dst,-0.012,0.024,0.024,-0.02,-0.016,-0.016,-0.024,1,-0.148,-0.088,-0.036,-0.056,-0.064,-0.06,-0.044,-0.048
opp qb,0.29,0.09,0.04,0.12,0.19,0.18,0.17,-0.37,1,0.15,0.12,0.4,0.33,0.27,0.33,-0.03,opp qb,0.116,0.036,0.016,0.048,0.076,0.072,0.068,-0.148,1,0.06,0.048,0.16,0.132,0.108,0.132,-0.012
opp rb1,0.09,0.05,0.01,0.1,0.08,0.07,0.04,-0.22,0.29,1,-0.07,0.06,0.05,0.03,0.03,0.06,opp rb1,0.036,0.02,0.004,0.04,0.032,0.028,0.016,-0.088,0.116,1,-0.028,0.024,0.02,0.012,0.012,0.024
opp rb2,0.04,0.01,-0.01,0.01,0,0,0.08,-0.09,0.2,-0.11,1,0.05,-0.02,0.06,0.09,0.06,opp rb2,0.016,0.004,-0.004,0.004,0,0,0.032,-0.036,0.08,-0.044,1,0.02,-0.008,0.024,0.036,0.024
opp wr1,0.12,0.1,0.01,0.02,0.12,0.09,0.08,-0.14,0.5,0.13,0.02,1,-0.03,-0.04,0.11,-0.05,opp wr1,0.048,0.04,0.004,0.008,0.048,0.036,0.032,-0.056,0.2,0.052,0.008,1,-0.012,-0.016,0.044,-0.02
opp wr2,0.19,0.08,0,0.12,0.05,0.02,0.05,-0.16,0.48,0.19,0.05,0.1,1,-0.01,-0.01,-0.04,opp wr2,0.076,0.032,0,0.048,0.02,0.008,0.02,-0.064,0.192,0.076,0.02,0.04,1,-0.004,-0.004,-0.016
opp wr3,0.17,0.04,0,0.09,0.05,0.02,0.03,-0.15,0.45,0.1,0.01,0.05,0.07,1,-0.01,-0.04,opp wr3,0.068,0.016,0,0.036,0.02,0.008,0.012,-0.06,0.18,0.04,0.004,0.02,0.028,1,-0.004,-0.016
opp te,0.17,0.04,0.08,0.08,0.05,0.09,0.12,-0.11,0.4,0.24,0.17,0.07,0.1,0.05,1,-0.06,opp te,0.068,0.016,0.032,0.032,0.02,0.036,0.048,-0.044,0.16,0.096,0.068,0.028,0.04,0.02,1,-0.024
opp dst,-0.37,-0.22,-0.09,-0.14,-0.16,-0.15,-0.11,-0.12,-0.02,0.09,0.06,-0.03,-0.08,-0.05,-0.03,1,opp dst,-0.148,-0.088,-0.036,-0.056,-0.064,-0.06,-0.044,-0.048,-0.008,0.036,0.024,-0.012,-0.032,-0.02,-0.012,1
