,start_lap,end_lap,reason,comment,race_name,series
0,37,40,Competition,Competition ,Drydene 400,1
1,121,129,Debris,Debris Turn 1 / Stage 1 Conclusion,Drydene 400,1
2,172,176,Accident,#77 Incident Turn 2,Drydene 400,1
3,242,248,Competition,Stage 2 Conclusion,Drydene 400,1
4,303,308,Accident,#10 Incident Turn 4,Drydene 400,1
5,315,319,Accident,"#2, 38, 47 Incident Turn 2",Drydene 400,1
6,326,330,Debris,Debris On Fronstretch,Drydene 400,1
7,11,15,Weather,Weather (Red Flag:15:46),Hollywood Casino 400,1
8,24,27,Accident,#18 Incident in Turn 1 ,Hollywood Casino 400,1
9,82,86,Competition,Stage 1 Conclusion,Hollywood Casino 400,1
10,162,167,Competition,Stage 2 Conclusion,Hollywood Casino 400,1
11,174,178,Accident,#38 Incident on the Frontstretch,Hollywood Casino 400,1
12,219,222,Spin,#6 Spin in Turn 2,Hollywood Casino 400,1
13,225,228,Accident,#3 and 12 Incident in Turn 2,Hollywood Casino 400,1
14,9,10,Accident,#45 Incident Turn 1,United Rentals 176,3
15,22,23,Competition,Stage 1 Conclusion,United Rentals 176,3
16,47,49,Competition,Stage 2 Conclusion,United Rentals 176,3
17,55,56,Accident,"#19, #23 Incident Inner Loop",United Rentals 176,3
18,61,61,Unknown,Lightning,United Rentals 176,3
19,13,18,Accident,#45 Incident Frontstretch,Lucas Oil 150,3
20,47,53,Competition,Stage 1 Conclusion,Lucas Oil 150,3
21,92,99,Competition,Stage 2 Conclusion,Lucas Oil 150,3
22,102,105,Unknown,#12 Stopped On Track,Lucas Oil 150,3
23,22,25,Competition,Competition Caution,Andy’s Frozen Custard 335,2
24,27,30,Unknown,#4 Stalled Turn 4,Andy’s Frozen Custard 335,2
25,41,44,Unknown,#17 Stalled Turn 4,Andy’s Frozen Custard 335,2
26,47,51,Competition,Stage 1 Conclusion,Andy’s Frozen Custard 335,2
27,56,61,Debris,Debris on track,Andy’s Frozen Custard 335,2
28,65,68,Spin,#39 Spin Turn 2,Andy’s Frozen Custard 335,2
29,92,97,Competition,Stage 2 Conclusion,Andy’s Frozen Custard 335,2
30,101,108,Accident,"#23, 26, 48 Incident Turn 2",Andy’s Frozen Custard 335,2
31,143,149,Spin,#74 Spin Frontstretch,Andy’s Frozen Custard 335,2
32,174,179,Accident,#68 Incident Backstretch,Andy’s Frozen Custard 335,2
33,69,76,Unknown,#9 Fire,Call 811 Before You Dig 200 presented by Arizona 811,2
34,92,98,Competition,Stage 2 Conclusion,Call 811 Before You Dig 200 presented by Arizona 811,2
35,125,129,Accident,"#44, 6 Incident Turn 2",Call 811 Before You Dig 200 presented by Arizona 811,2
36,133,137,Spin,#20 Spin Turn 2,Call 811 Before You Dig 200 presented by Arizona 811,2
37,141,144,Spin,#02 Spin Frontstretch,Call 811 Before You Dig 200 presented by Arizona 811,2
38,149,154,Accident,"#8, #23 Incident Backstretch",Call 811 Before You Dig 200 presented by Arizona 811,2
39,167,171,Accident,"#16, #19 Incident Backstretch",Call 811 Before You Dig 200 presented by Arizona 811,2
40,193,198,Accident,#36 Incident Turn 4,Call 811 Before You Dig 200 presented by Arizona 811,2
41,5,7,Accident,#6 Incident Turn 5,Skrewball Peanut Butter Whiskey 200,2
42,12,12,Competition,Competition Caution,Skrewball Peanut Butter Whiskey 200,2
43,22,24,Competition,Stage 1 Conclusion,Skrewball Peanut Butter Whiskey 200,2
44,35,36,Unknown,#36 Stopped on Track,Skrewball Peanut Butter Whiskey 200,2
45,42,43,Competition,Stage 2 Conclusion,Skrewball Peanut Butter Whiskey 200,2
46,50,50,Accident,#5 Incident Turn 5,Skrewball Peanut Butter Whiskey 200,2
47,69,70,Accident,#31 Incident Turn 6,Skrewball Peanut Butter Whiskey 200,2
48,78,78,Unknown,#47 Stopped on Track,Skrewball Peanut Butter Whiskey 200,2
49,27,29,Competition,Competition Caution,Quaker State 400 presented by Walmart,1
50,32,35,Accident,"#47, 99, 51 Incident Backstretch",Quaker State 400 presented by Walmart,1
51,82,86,Competition,Stage 1 Conclusion,Quaker State 400 presented by Walmart,1
52,162,170,Competition,Stage 2 Conclusion/Track Repair Frontstretch [Red Flag: 19:04],Quaker State 400 presented by Walmart,1
53,3,6,Spin,#04 Spin Turn 4,Bucked Up 200,3
