,starting_position,finishing_position,laps_led,times_led,laps_completed,finishing_status,disqualified,race_name,name,team,series
0,7,12,0,0,400,Running,FALSE,Drydene 400,Ryan Blaney,Team Penske,1
1,27,28,0,0,392,Running,FALSE,Drydene 400,Anthony Alfredo,Our Motorsports,1
2,22,11,0,0,400,Running,FALSE,Drydene 400,Bubba Wallace,23XI Racing,1
3,19,15,0,0,400,Running,FALSE,Drydene 400,Ross Chastain,Trackhouse Racing Team,1
4,4,2,263,4,400,Running,FALSE,Drydene 400,Kyle Larson,Hendrick Motorsports,1
5,5,6,0,0,400,Running,FALSE,Drydene 400,Kevin Harvick,Stewart-Haas Racing,1
6,34,31,0,0,387,Running,FALSE,Drydene 400,Cody Ware,,1
7,11,21,0,0,396,Running,FALSE,Drydene 400,Christopher Bell,Joe Gibbs Racing,1
8,33,33,0,0,382,Running,FALSE,Drydene 400,James Davison,,1
9,17,35,0,0,335,Running,FALSE,Drydene 400,Chase Briscoe,Stewart-Haas Racing,1
10,28,13,0,0,400,Running,FALSE,Drydene 400,Kurt Busch,23XI Racing,1
11,37,34,0,0,381,Running,FALSE,Drydene 400,Josh Bilicki,Spire Motorsports,1
12,8,3,0,0,400,Running,FALSE,Drydene 400,Chase Elliott,Hendrick Motorsports,1
13,18,24,0,0,395,Running,FALSE,Drydene 400,Matt DiBenedetto,Rackley W.A.R.,1
14,25,18,0,0,399,Running,FALSE,Drydene 400,Ryan Preece,JTG Daugherty Racing,1
15,16,1,98,2,400,Running,FALSE,Drydene 400,Alex Bowman,Hendrick Motorsports,1
16,13,23,0,0,396,Running,FALSE,Drydene 400,Ryan Newman,Roush Fenway Racing,1
17,31,36,0,0,334,Engine,FALSE,Drydene 400,BJ McLeod,Live Fast Motorsports,1
18,30,10,0,0,400,Running,FALSE,Drydene 400,Cole Custer,Stewart-Haas Racing,1
19,35,29,0,0,388,Running,FALSE,Drydene 400,Quin Houff,Starcom Racing,1
20,21,25,0,0,395,Running,FALSE,Drydene 400,Michael McDowell,Front Row Motorsports,1
21,32,37,0,0,300,Accident,FALSE,Drydene 400,Aric Almirola,Stewart-Haas Racing,1
22,24,9,0,0,400,Running,FALSE,Drydene 400,Daniel Suarez,Trackhouse Racing Team,1
23,9,5,0,0,400,Running,FALSE,Drydene 400,Joey Logano,Team Penske,1
24,2,7,2,2,400,Running,FALSE,Drydene 400,Denny Hamlin,Joe Gibbs Racing,1
25,26,26,0,0,393,Running,FALSE,Drydene 400,Corey LaJoie,Spire Motorsports,1
26,12,8,0,0,400,Running,FALSE,Drydene 400,Tyler Reddick,Richard Childress Racing,1
27,10,17,0,0,400,Running,FALSE,Drydene 400,Chris Buescher,RFK Racing,1
28,14,14,0,0,400,Running,FALSE,Drydene 400,Austin Dillon,Richard Childress Racing,1
29,6,27,0,0,393,Running,FALSE,Drydene 400,Kyle Busch,Joe Gibbs Racing,1
30,36,32,0,0,383,Running,FALSE,Drydene 400,Garrett Smithley,Rick Ware Racing,1
31,1,19,16,2,399,Running,FALSE,Drydene 400,Martin Truex Jr.,Joe Gibbs Racing,1
32,15,16,0,0,400,Running,FALSE,Drydene 400,Brad Keselowski,RFK Racing,1
33,20,20,0,0,399,Running,FALSE,Drydene 400,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
34,23,22,0,0,396,Running,FALSE,Drydene 400,Erik Jones,Petty GMS Motorsports,1
35,29,30,0,0,388,Running,FALSE,Drydene 400,Josh Berry,JR Motorsports,1
36,3,4,21,1,400,Running,FALSE,Drydene 400,William Byron,Hendrick Motorsports,1
37,18,16,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Chris Buescher,RFK Racing,1
38,28,29,0,0,255,Running,FALSE,Quaker State 400 presented by Walmart,Justin Haley,Kaulig Racing,1
39,6,18,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Kyle Larson,Hendrick Motorsports,1
40,16,37,0,0,178,Suspension,FALSE,Quaker State 400 presented by Walmart,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
41,8,1,144,3,260,Running,FALSE,Quaker State 400 presented by Walmart,Kurt Busch,23XI Racing,1
42,7,6,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Tyler Reddick,Richard Childress Racing,1
43,20,23,8,1,258,Running,FALSE,Quaker State 400 presented by Walmart,Aric Almirola,Stewart-Haas Racing,1
44,23,17,1,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Cole Custer,Stewart-Haas Racing,1
45,10,19,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,Joey Logano,Team Penske,1
46,19,20,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,William Byron,Hendrick Motorsports,1
47,5,3,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Martin Truex Jr.,Joe Gibbs Racing,1
48,25,27,0,0,256,Running,FALSE,Quaker State 400 presented by Walmart,Michael McDowell,Front Row Motorsports,1
49,11,15,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Chase Briscoe,Stewart-Haas Racing,1
50,9,21,0,0,259,Running,FALSE,Quaker State 400 presented by Walmart,Ross Chastain,Trackhouse Racing Team,1
51,29,28,0,0,256,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Newman,Roush Fenway Racing,1
52,14,10,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Brad Keselowski,RFK Racing,1
53,17,4,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Alex Bowman,Hendrick Motorsports,1
54,12,9,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Matt DiBenedetto,Rackley W.A.R.,1
55,30,34,0,0,248,Running,FALSE,Quaker State 400 presented by Walmart,Josh Bilicki,Spire Motorsports,1
56,24,14,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Bubba Wallace,23XI Racing,1
57,33,32,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Bayley Currey,JD Motorsports,1
58,31,33,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Cody Ware,,1
59,35,35,0,0,248,Running,FALSE,Quaker State 400 presented by Walmart,Quin Houff,Starcom Racing,1
60,22,24,0,0,258,Running,FALSE,Quaker State 400 presented by Walmart,Erik Jones,Petty GMS Motorsports,1
61,2,2,91,3,260,Running,FALSE,Quaker State 400 presented by Walmart,Kyle Busch,Joe Gibbs Racing,1
62,1,7,13,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Chase Elliott,Hendrick Motorsports,1
63,34,25,1,1,258,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Preece,JTG Daugherty Racing,1
64,3,13,2,1,260,Running,FALSE,Quaker State 400 presented by Walmart,Denny Hamlin,Joe Gibbs Racing,1
65,13,12,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Austin Dillon,Richard Childress Racing,1
66,21,11,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Kevin Harvick,Stewart-Haas Racing,1
67,26,22,0,0,258,Running,FALSE,Quaker State 400 presented by Walmart,Corey LaJoie,Spire Motorsports,1
68,27,36,0,0,243,Running,FALSE,Quaker State 400 presented by Walmart,Daniel Suarez,Trackhouse Racing Team,1
69,32,26,0,0,257,Running,FALSE,Quaker State 400 presented by Walmart,Anthony Alfredo,Our Motorsports,1
70,4,8,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Christopher Bell,Joe Gibbs Racing,1
71,37,31,0,0,253,Running,FALSE,Quaker State 400 presented by Walmart,Garrett Smithley,Rick Ware Racing,1
72,36,30,0,0,254,Running,FALSE,Quaker State 400 presented by Walmart,BJ McLeod,Live Fast Motorsports,1
73,15,5,0,0,260,Running,FALSE,Quaker State 400 presented by Walmart,Ryan Blaney,Team Penske,1
74,33,31,0,0,389,Running,FALSE,Coca-Cola 600,BJ McLeod,Live Fast Motorsports,1
75,7,5,5,1,400,Running,FALSE,Coca-Cola 600,Alex Bowman,Hendrick Motorsports,1
76,16,17,0,0,398,Running,FALSE,Coca-Cola 600,Joey Logano,Team Penske,1
77,23,21,0,0,397,Running,FALSE,Coca-Cola 600,Cole Custer,Stewart-Haas Racing,1
78,27,8,0,0,400,Running,FALSE,Coca-Cola 600,Chris Buescher,RFK Racing,1
79,12,38,0,0,139,Engine,FALSE,Coca-Cola 600,Kurt Busch,23XI Racing,1
80,21,23,0,0,397,Running,FALSE,Coca-Cola 600,Chase Briscoe,Stewart-Haas Racing,1
81,22,18,2,1,398,Running,FALSE,Coca-Cola 600,Matt DiBenedetto,Rackley W.A.R.,1
82,24,20,0,0,398,Running,FALSE,Coca-Cola 600,Michael McDowell,Front Row Motorsports,1
83,14,7,3,1,400,Running,FALSE,Coca-Cola 600,Denny Hamlin,Joe Gibbs Racing,1
84,26,19,0,0,398,Running,FALSE,Coca-Cola 600,Corey LaJoie,Spire Motorsports,1
85,15,9,6,3,400,Running,FALSE,Coca-Cola 600,Tyler Reddick,Richard Childress Racing,1
86,2,12,0,0,400,Running,FALSE,Coca-Cola 600,Ricky Stenhouse Jr.,JTG Daugherty Racing,1
87,4,4,19,2,400,Running,FALSE,Coca-Cola 600,William Byron,Hendrick Motorsports,1
88,32,32,0,0,389,Running,FALSE,Coca-Cola 600,Quin Houff,Starcom Racing,1
89,9,15,0,0,398,Running,FALSE,Coca-Cola 600,Daniel Suarez,Trackhouse Racing Team,1
90,20,3,1,1,400,Running,FALSE,Coca-Cola 600,Kyle Busch,Joe Gibbs Racing,1
91,31,22,0,0,397,Running,FALSE,Coca-Cola 600,Aric Almirola,Stewart-Haas Racing,1
92,36,34,0,0,387,Running,FALSE,Coca-Cola 600,Garrett Smithley,Rick Ware Racing,1
93,35,33,0,0,388,Running,FALSE,Coca-Cola 600,James Davison,,1
94,30,28,0,0,395,Running,FALSE,Coca-Cola 600,Justin Haley,Kaulig Racing,1
95,6,6,1,1,400,Running,FALSE,Coca-Cola 600,Austin Dillon,Richard Childress Racing,1
96,19,16,0,0,398,Running,FALSE,Coca-Cola 600,Erik Jones,Petty GMS Motorsports,1
97,34,30,0,0,389,Running,FALSE,Coca-Cola 600,Cody Ware,,1
98,18,14,0,0,400,Running,FALSE,Coca-Cola 600,Bubba Wallace,23XI Racing,1
99,11,13,2,1,400,Running,FALSE,Coca-Cola 600,Ryan Blaney,Team Penske,1
100,8,29,0,0,391,Running,FALSE,Coca-Cola 600,Martin Truex Jr.,Joe Gibbs Racing,1
101,13,11,6,1,400,Running,FALSE,Coca-Cola 600,Brad Keselowski,RFK Racing,1
102,28,26,0,0,397,Running,FALSE,Coca-Cola 600,Ryan Preece,JTG Daugherty Racing,1
103,1,1,327,7,400,Running,FALSE,Coca-Cola 600,Kyle Larson,Hendrick Motorsports,1
104,25,27,0,0,396,Running,FALSE,Coca-Cola 600,Ryan Newman,Roush Fenway Racing,1
105,17,24,3,1,397,Running,FALSE,Coca-Cola 600,Christopher Bell,Joe Gibbs Racing,1
106,38,36,0,0,369,Running,FALSE,Coca-Cola 600,David Starr,JD Motorsports,1
107,3,2,22,2,400,Running,FALSE,Coca-Cola 600,Chase Elliott,Hendrick Motorsports,1
108,37,35,0,0,382,Running,FALSE,Coca-Cola 600,Josh Bilicki,Spire Motorsports,1
109,29,25,3,2,397,Running,FALSE,Coca-Cola 600,Anthony Alfredo,Our Motorsports,1
110,5,10,0,0,400,Running,FALSE,Coca-Cola 600,Kevin Harvick,Stewart-Haas Racing,1
111,10,37,0,0,359,Running,FALSE,Coca-Cola 600,Ross Chastain,Trackhouse Racing Team,1
112,34,32,0,0,92,Running,FALSE,Toyota / Save Mart 350,Garrett Smithley,Rick Ware Racing,1
113,16,12,0,0,92,Running,FALSE,Toyota / Save Mart 350,Daniel Suarez,Trackhouse Racing Team,1
114,30,6,8,2,92,Running,FALSE,Toyota / Save Mart 350,Kurt Busch,23XI Racing,1
