id,qb,p1,p2,opp_p1,sal,proj,actual,diff
51201,Lamar Jackson,Mark Andrews,Marquise Brown,Will Fuller V,29300,63.1,27.66,0.438351823
51212,Lamar Jackson,Mark Andrews,Marquise Brown,Brandin Cooks,28800,59.7,39.66,0.664321608
51217,Lamar Jackson,Mark Andrews,Marquise Brown,Jordan Akins,27800,57.6,36.66,0.636458333
49753,Kyler Murray,DeAndre Hopkins,Christian Kirk,Stefon Diggs,31600,72.8,78.1,1.072802198
49759,Kyler Murray,DeAndre Hopkins,Christian Kirk,John Brown,29300,67.2,68,1.011904762
49766,Kyler Murray,DeAndre Hopkins,Christian Kirk,Cole Beasley,29100,64.2,80.2,1.249221184
51903,Lamar Jackson,Mark Andrews,Marquise Brown,Jarvis Landry,28400,59.7,66.12,1.107537688
51906,Lamar Jackson,Mark Andrews,Marquise Brown,Odell Beckham Jr.,28200,58.1,67.62,1.163855422
50990,Kyler Murray,DeAndre Hopkins,Larry Fitzgerald,Kenny Golladay,29800,67.7,58.6,0.865583456
51003,Kyler Murray,DeAndre Hopkins,Andy Isabella,Kenny Golladay,28900,67.7,76.2,1.125553914
50996,Kyler Murray,DeAndre Hopkins,Larry Fitzgerald,Marvin Jones Jr.,28400,67.4,50.5,0.74925816
51007,Kyler Murray,DeAndre Hopkins,Andy Isabella,Marvin Jones Jr.,27500,67.4,68.1,1.010385757
50999,Kyler Murray,DeAndre Hopkins,Larry Fitzgerald,T.J. Hockenson,27700,64.7,51.2,0.791344668
51010,Kyler Murray,DeAndre Hopkins,Andy Isabella,T.J. Hockenson,26800,64.7,68.8,1.063369397
51014,Kyler Murray,DeAndre Hopkins,Dan Arnold,Kenny Golladay,28700,63.4,59.7,0.941640379
51019,Kyler Murray,DeAndre Hopkins,Dan Arnold,Marvin Jones Jr.,27300,63.1,51.6,0.817749604
51022,Kyler Murray,DeAndre Hopkins,Dan Arnold,T.J. Hockenson,26600,60.4,52.3,0.86589404
52402,Lamar Jackson,Marquise Brown,Mark Andrews,Tyler Boyd,26400,59.2,78.92,1.333108108
52404,Lamar Jackson,Marquise Brown,Mark Andrews,Auden Tate,26000,58.1,74.82,1.28777969
50849,Patrick Mahomes,Tyreek Hill,Travis Kelce,Darren Waller,31800,70.9,81.6,1.150916784
50850,Patrick Mahomes,Tyreek Hill,Travis Kelce,Hunter Renfrow,30100,68.1,73,1.07195301
50851,Patrick Mahomes,Tyreek Hill,Sammy Watkins,Darren Waller,29600,65.1,70.2,1.078341014
50854,Patrick Mahomes,Tyreek Hill,Mecole Hardman,Darren Waller,29100,65.1,66.8,1.026113671
50873,Patrick Mahomes,Travis Kelce,Mecole Hardman,Darren Waller,28700,63.4,70.8,1.116719243
50864,Patrick Mahomes,Travis Kelce,Sammy Watkins,Darren Waller,29200,63.4,74.2,1.170347003
50858,Patrick Mahomes,Tyreek Hill,Mecole Hardman,Hunter Renfrow,27400,62.3,58.2,0.934189406
50853,Patrick Mahomes,Tyreek Hill,Sammy Watkins,Hunter Renfrow,27900,62.3,61.6,0.988764045
50878,Patrick Mahomes,Travis Kelce,Mecole Hardman,Hunter Renfrow,27000,60.6,62.2,1.02640264
50869,Patrick Mahomes,Travis Kelce,Sammy Watkins,Hunter Renfrow,27500,60.6,65.6,1.082508251
50882,Russell Wilson,Tyler Lockett,DK Metcalf,DeVante Parker,29900,70.8,55.4,0.782485876
50887,Russell Wilson,Tyler Lockett,DK Metcalf,Preston Williams,28900,69.2,43.4,0.62716763
50891,Russell Wilson,Tyler Lockett,DK Metcalf,Mike Gesicki,29100,68.5,41.4,0.604379562
50895,Russell Wilson,Tyler Lockett,Greg Olsen,DeVante Parker,28000,61,48.8,0.8
50902,Russell Wilson,DK Metcalf,Greg Olsen,DeVante Parker,27400,60.9,56.5,0.927750411
50898,Russell Wilson,Tyler Lockett,Greg Olsen,Preston Williams,27000,59.4,36.8,0.61952862
50905,Russell Wilson,DK Metcalf,Greg Olsen,Preston Williams,26400,59.3,44.5,0.750421585
50900,Russell Wilson,Tyler Lockett,Greg Olsen,Mike Gesicki,27200,58.7,34.8,0.592844974
50910,Russell Wilson,DK Metcalf,Greg Olsen,Mike Gesicki,26600,58.6,42.5,0.725255973
50903,Dak Prescott,Amari Cooper,CeeDee Lamb,Darius Slayton,28200,66,50.34,0.762727273
50918,Dak Prescott,Amari Cooper,Michael Gallup,Darius Slayton,28000,65.1,43.24,0.664208909
50908,Dak Prescott,Amari Cooper,CeeDee Lamb,Golden Tate,27900,64,39.64,0.619375
50923,Dak Prescott,Amari Cooper,Michael Gallup,Golden Tate,27700,63.1,32.54,0.515689382
50933,Dak Prescott,Amari Cooper,Dalton Schultz,Darius Slayton,27600,62.5,35.04,0.56064
