player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Taysom Hill,Main-20-FD-11,4500,TE,NO,18.8,0,0,49.5,26.5,-3.5,24.42,1.29893617
Travis Kelce,Main-20-FD-16,8800,TE,KC,16.9,0,0,54,32.5,-11,19.3,1.142011834
Travis Kelce,Main-21-FD-01,8500,TE,KC,16.5,13.6,0,53,29.5,-6,22.6,1.36969697
George Kittle,Main-20-FD-08,7700,TE,SF,16.4,0,0,54.5,26.8,1,4.9,0.298780488
Travis Kelce,Main-20-FD-12,8000,TE,KC,16.2,0,0,56,29.8,-3.5,12.2,0.75308642
Travis Kelce,Main-19-FD-04,7600,TE,KC,16.1,0,0,54.5,31,-7.5,12,0.745341615
Travis Kelce,Main-20-FD-15,8500,TE,KC,15.8,0,0,52,27.5,-3,18.8,1.189873418
George Kittle,Main-20-FD-05,7100,TE,SF,15.8,0,0,50.5,29.5,-8.5,6.4,0.405063291
Evan Engram,Main-19-FD-04,6800,TE,NYG,15.7,0,0,48,25.5,-3,7.4,0.47133758
Travis Kelce,Main-20-FD-05,7800,TE,KC,15.5,0,0,54.5,32.8,-11,20.8,1.341935484
Travis Kelce,Main-19-FD-03,8000,TE,KC,14.9,0,0,52,28.3,-4.5,12.4,0.832214765
Travis Kelce,Main-20-FD-08,7900,TE,KC,14.7,0,0,49,34.5,-20,20.9,1.421768707
Travis Kelce,Main-20-FD-14,8200,TE,KC,14.6,0,0,50.5,28.75,-7,23.6,1.616438356
Darren Waller,Main-20-FD-17,7800,TE,LV,14.5,0,0,50.5,26.5,-2.5,22.2,1.531034483
Travis Kelce,Main-19-FD-06,7500,TE,KC,14.4,0,0,54.5,29,-3.5,7.8,0.541666667
Travis Kelce,Main-20-FD-07,7900,TE,KC,14.1,0,0,46,26.5,-7,4.6,0.326241135
George Kittle,Main-20-FD-01,8000,TE,SF,14,0,1.75,49.5,28,-6.5,7.3,0.521428571
George Kittle,Main-20-FD-07,7100,TE,SF,13.9,0,0,44,20.5,3,8,0.575539568
Travis Kelce,Main-19-FD-02,8000,TE,KC,13.9,0,0,53.5,30.3,-7,20.2,1.45323741
George Kittle,Main-21-FD-01,7000,TE,SF,13.7,12.2,0,45.5,26.5,-7.5,9.8,0.715328467
Travis Kelce,Main-19-FD-13,7100,TE,KC,13.7,0,0,49.5,30.5,-11.5,11.5,0.839416058
George Kittle,Main-19-FD-02,7100,TE,SF,13.7,0,0,46,22.5,1,6.9,0.503649635
Darren Waller,Main-20-FD-12,7100,TE,LV,13.6,0,0,53,28.3,-3.5,4.3,0.316176471
Travis Kelce,Main-19-FD-01,7800,TE,KC,13.6,0,0,49,26.3,-3.5,10.3,0.757352941
Evan Engram,Main-19-FD-02,6400,TE,NYG,13.5,0,0,44.5,21.8,1,7.8,0.577777778
Zach Ertz,Main-19-FD-03,6900,TE,PHI,13.5,0,0,45,24.5,-4,8.4,0.622222222
George Kittle,Main-19-FD-03,6600,TE,SF,13.5,0,0,44.5,25.3,-6,8.7,0.644444444
George Kittle,Main-19-FD-01,7300,TE,SF,13.4,0,0,51,25,1,9.4,0.701492537
Austin Hooper,Main-19-FD-08,6600,TE,ATL,13.2,0,0,48.5,20.5,7.5,15.5,1.174242424
Zach Ertz,Main-19-FD-05,6600,TE,PHI,13.2,0,0,43,28.5,-14,14.2,1.075757576
Darren Waller,Main-20-FD-14,7100,TE,LV,13.1,0,0,52.5,24.75,3,11,0.839694656
George Kittle,Main-19-FD-07,7100,TE,SF,13.1,0,0,39,24.5,-10,5.3,0.404580153
Zach Ertz,Main-19-FD-01,7100,TE,PHI,13.1,0,0,44,27.3,-10.5,7.9,0.603053435
Travis Kelce,Main-19-FD-10,6700,TE,KC,13,0,0,49,27,-5,17,1.307692308
Darren Waller,Main-19-FD-09,6800,TE,OAK,13,0,0,51.5,27,-2.5,6.2,0.476923077
Travis Kelce,Main-19-FD-17,7500,TE,KC,12.9,0,0,46,28,-10,3.9,0.302325581
Austin Hooper,Main-19-FD-06,6400,TE,ATL,12.9,0,0,52.5,27.8,-3,21.7,1.682170543
Zach Ertz,Main-19-FD-15,6700,TE,PHI,12.8,0,0,38,22.5,-7,14.6,1.140625
George Kittle,Main-19-FD-15,7200,TE,SF,12.8,0,0,50,30.3,-10.5,19.9,1.5546875
George Kittle,Main-19-FD-14,6700,TE,SF,12.8,0,0,45,22,1,15.7,1.2265625
George Kittle,Main-19-FD-08,6900,TE,SF,12.8,0,0,41,22.8,-4.5,11.6,0.90625
Mark Andrews,Main-20-FD-15,6800,TE,BAL,12.7,0,0,48,30.5,-13,15.1,1.188976378
Zach Ertz,Main-19-FD-16,6900,TE,PHI,12.7,0,0,47,22.5,2,4.8,0.377952756
Evan Engram,Main-19-FD-07,6800,TE,NYG,12.7,0,0,49.5,26.5,-3.5,1.1,0.086614173
George Kittle,Main-19-FD-06,6500,TE,SF,12.7,0,0,49.5,23.3,3,14.3,1.125984252
Darren Waller,Main-19-FD-04,6700,TE,OAK,12.7,0,0,46,20.3,5.5,8.8,0.692913386
Mark Andrews,Main-20-FD-17,7200,TE,BAL,12.6,0,0,46,29.8,-13.5,4.7,0.373015873
Darren Waller,Main-19-FD-08,6800,TE,OAK,12.6,0,0,52,23.5,5,8.1,0.642857143
Mark Andrews,Main-19-FD-06,6300,TE,BAL,12.6,0,0,47,28.8,-10.5,10.9,0.865079365
Travis Kelce,Main-20-FD-09,8000,TE,KC,12.5,0,0,51.5,30.8,-10,20.9,1.672
Travis Kelce,Main-19-FD-14,7100,TE,KC,12.5,0,0,49.5,23.3,3,14.5,1.16
Zach Ertz,Main-19-FD-13,6900,TE,PHI,12.5,0,0,45,27.8,-10.5,3.9,0.312
Mark Andrews,Main-19-FD-03,6800,TE,BAL,12.5,0,0,52,23.8,4.5,3,0.24
Travis Kelce,Main-20-FD-02,7800,TE,KC,12.5,0,1.79,47,27.8,-8.5,19.5,1.56
Mark Andrews,Main-20-FD-06,7600,TE,BAL,12.4,0,0,46.5,28.5,-10.5,3.1,0.25
Mark Andrews,Main-20-FD-02,7500,TE,BAL,12.4,0,1.77,49.5,28.5,-7.5,3.4,0.274193548
Evan Engram,Main-19-FD-03,6400,TE,NYG,12.3,0,0,48,21.5,5,20.3,1.650406504
Mark Andrews,Main-20-FD-16,7000,TE,BAL,12.2,0,0,43.5,26.8,-10,10.6,0.868852459
George Kittle,Main-19-FD-13,7000,TE,SF,12.2,0,0,45,19.8,5.5,2.4,0.196721311
Mark Andrews,Main-19-FD-07,6700,TE,BAL,12.2,0,0,49,23,3,4.9,0.401639344
Travis Kelce,Main-19-FD-15,7300,TE,KC,12.1,0,0,43,26.5,-10,19.7,1.628099174
Darren Waller,Main-19-FD-11,6700,TE,OAK,12.1,0,0,48,30.5,-13,10.1,0.834710744
Hunter Henry,Main-19-FD-09,6400,TE,LAC,12.1,0,0,50,23,4,11.9,0.983471074
Austin Hooper,Main-19-FD-07,6600,TE,ATL,12.1,0,0,54.5,25.8,3,12.6,1.041322314
Jonnu Smith,Main-20-FD-06,5800,TE,TEN,12,0,0,52,28,-4,1.8,0.15
Mark Andrews,Main-20-FD-05,7500,TE,BAL,12,0,0,49,30.8,-12.5,14.6,1.216666667
Mark Andrews,Main-20-FD-01,7400,TE,BAL,12,0,1.71,47,27,-7,20.3,1.691666667
Darren Waller,Main-20-FD-10,7000,TE,LV,11.9,0,0,50.5,27,-3.5,5.2,0.43697479
Darren Waller,Main-20-FD-05,6800,TE,LV,11.9,0,0,54.5,21.8,11,13.3,1.117647059
Evan Engram,Main-19-FD-05,6300,TE,NYG,11.9,0,0,44,19.3,5.5,7.7,0.647058824
Mark Andrews,Main-19-FD-02,6100,TE,BAL,11.9,0,0,46,29.5,-13,21.2,1.781512605
Darren Waller,Main-20-FD-09,6400,TE,LV,11.8,0,0,52.5,26.8,-1,10.7,0.906779661
Darren Waller,Main-19-FD-15,6200,TE,OAK,11.7,0,0,47,27,-7,16.2,1.384615385
Mark Andrews,Main-19-FD-11,6900,TE,BAL,11.7,0,0,51,27.5,-4,15.5,1.324786325
Travis Kelce,Main-19-FD-09,6700,TE,KC,11.7,0,0,46,20.3,5.5,9.7,0.829059829
Dallas Goedert,Main-19-FD-17,6400,TE,PHI,11.6,0,0,44,24,-4,8.5,0.732758621
Darren Waller,Main-19-FD-02,5400,TE,OAK,11.6,0,0,53.5,23.3,7,9.3,0.801724138
George Kittle,Main-20-FD-17,6800,TE,SF,11.5,0,0,45,19,7,10.3,0.895652174
Mark Andrews,Main-20-FD-04,7400,TE,BAL,11.5,0,0,45,29.8,-14.5,19.2,1.669565217
Austin Hooper,Main-19-FD-17,6000,TE,ATL,11.5,0,0,48,23.5,1,8,0.695652174
Darren Waller,Main-19-FD-14,6200,TE,OAK,11.5,0,0,47,22,3,8.3,0.72173913
Zach Ertz,Main-19-FD-12,6100,TE,PHI,11.5,0,0,45.5,22.3,1,21.1,1.834782609
Darren Waller,Main-19-FD-05,6400,TE,OAK,11.5,0,0,39.5,16.5,6.5,5.9,0.513043478
Darren Waller,Main-20-FD-13,7000,TE,LV,11.4,0,0,48,27.75,-7.5,38.5,3.377192982
Mark Andrews,Main-20-FD-11,6500,TE,BAL,11.4,0,0,50.5,28.3,-6,18.1,1.587719298
Darren Waller,Main-19-FD-12,6200,TE,OAK,11.4,0,0,45,24.3,-3.5,5.6,0.49122807
Darren Waller,Main-19-FD-13,6100,TE,OAK,11.3,0,0,49.5,19,11.5,13.5,1.194690265
Hunter Henry,Main-19-FD-08,6700,TE,LAC,11.3,0,0,41,18.8,3.5,6.7,0.592920354
Darren Waller,Main-19-FD-07,6200,TE,OAK,11.3,0,0,48,21.3,5.5,28.1,2.486725664
Darren Waller,Main-20-FD-08,6800,TE,LV,11.2,0,0,48,23.5,1,5.3,0.473214286
Hunter Henry,Main-19-FD-13,6600,TE,LAC,11.2,0,0,39,21.8,-4.5,2,0.178571429
Evan Engram,Main-19-FD-08,6300,TE,NYG,11.2,0,0,49,21.3,6.5,12,1.071428571
Zach Ertz,Main-19-FD-06,6600,TE,PHI,11.2,0,0,44,20.3,3.5,5.4,0.482142857
Mark Andrews,Main-19-FD-04,6100,TE,BAL,11.2,0,0,47,27.3,-7.5,11.1,0.991071429
Mark Andrews,Main-20-FD-09,6600,TE,BAL,11.1,0,0,48,23.5,1,3.7,0.333333333
Mark Andrews,Main-20-FD-08,7000,TE,BAL,11.1,0,0,44,24,-4,4.7,0.423423423
Greg Olsen,Main-19-FD-04,6000,TE,CAR,11.1,0,0,47.5,21,5.5,1.5,0.135135135
Darren Waller,Main-20-FD-04,6700,TE,LV,11,0,0,53,25,3,11.3,1.027272727
