player,slate,salary,position,team,projection,adjusted_opportunity,value,game_total,team_total,spread,actual,diff
Michael Thomas,Main-19-FD-10,8700,WR,NO,23.1,0,0,51.5,32.8,-14,21.7,0.939393939
Michael Thomas,Main-19-FD-12,9200,WR,NO,21.6,0,0,46,28,-10,21.1,0.976851852
Mike Evans,Main-19-FD-10,8600,WR,TB,21.3,0,0,51,28.3,-5.5,10.2,0.478873239
Michael Thomas,Main-19-FD-11,9000,WR,NO,20.9,0,0,50.5,27.8,-5,21.4,1.023923445
Keenan Allen,Main-19-FD-04,8100,WR,LAC,20.9,0,0,43.5,29.3,-15,7.3,0.349282297
Davante Adams,Main-20-FD-17,9300,WR,GB,20.3,0,0,48.5,26.5,-4.5,13.6,0.669950739
DeAndre Hopkins,Main-20-FD-03,8500,WR,ARI,20.1,0,0,55.5,30,-4.5,18.7,0.930348259
Davante Adams,Main-21-FD-01,8600,WR,GB,20,16.8,0,50,27.25,-4.5,8.1,0.405
Tyreek Hill,Main-20-FD-16,9400,WR,KC,20,0,0,54,32.5,-11,8.5,0.425
Davante Adams,Main-20-FD-10,9500,WR,GB,19.7,0,0,47,30.3,-13.5,14.6,0.741116751
Michael Thomas,Main-19-FD-17,9200,WR,NO,19.6,0,0,45,29.3,-13.5,5.7,0.290816327
Davante Adams,Main-20-FD-13,9500,WR,GB,19.4,0,0,50,29,-8,29.1,1.5
Michael Thomas,Main-19-FD-16,9000,WR,NO,19.4,0,0,49,26.3,-3.5,25.6,1.319587629
Michael Thomas,Main-19-FD-08,8500,WR,NO,19.3,0,0,47.5,30,-12.5,21.8,1.129533679
DeAndre Hopkins,Main-20-FD-04,8700,WR,ARI,19.2,0,0,52.5,27.8,-3,7.6,0.395833333
DeAndre Hopkins,Main-19-FD-05,8500,WR,HOU,19.2,0,0,49,26.5,-4,12.3,0.640625
Tyreek Hill,Main-21-FD-01,8500,WR,KC,19.1,12.9,0,53,29.5,-6,31.6,1.654450262
Davante Adams,Main-20-FD-14,9600,WR,GB,18.8,0,0,55.5,31.5,-7.5,21,1.117021277
Tyreek Hill,Main-20-FD-15,9300,WR,KC,18.4,0,0,52,27.5,-3,14.4,0.782608696
Julio Jones,Main-19-FD-12,8400,WR,ATL,18.4,0,0,51.5,27.5,-3.5,9.3,0.505434783
Davante Adams,Main-20-FD-02,8600,WR,GB,18.4,0,2.3,51,29,-7,5.1,0.277173913
Davante Adams,Main-19-FD-14,8400,WR,GB,18.1,0,0,42.5,27.8,-13,6.1,0.337016575
Davante Adams,Main-20-FD-07,8900,WR,GB,18,0,0,55.5,29,-2.5,38.1,2.116666667
Mike Evans,Main-19-FD-12,8000,WR,TB,18,0,0,51.5,24,3.5,7,0.388888889
DeAndre Hopkins,Main-19-FD-08,8200,WR,HOU,18,0,0,52,28.5,-5,16.4,0.911111111
DeAndre Hopkins,Main-19-FD-03,8900,WR,HOU,18,0,0,49,23,3,9.7,0.538888889
Tyreek Hill,Main-19-FD-13,8300,WR,KC,17.9,0,0,49.5,30.5,-11.5,7.6,0.424581006
DeAndre Hopkins,Main-20-FD-07,9000,WR,ARI,17.8,0,0,55.5,26,3.5,19.3,1.084269663
Davante Adams,Main-20-FD-11,9500,WR,GB,17.5,0,0,52,25.3,1.5,20.1,1.148571429
Davante Adams,Main-20-FD-08,9100,WR,GB,17.5,0,0,47,26.3,-5.5,26.8,1.531428571
Julio Jones,Main-19-FD-07,8200,WR,ATL,17.5,0,0,54.5,25.8,3,12.3,0.702857143
Keenan Allen,Main-19-FD-03,7800,WR,LAC,17.5,0,0,49,26,-3,37.1,2.12
Julio Jones,Main-19-FD-03,8300,WR,ATL,17.5,0,0,48,23.5,1,22.8,1.302857143
Chris Godwin,Main-19-FD-10,8200,WR,TB,17.4,0,0,51,28.3,-5.5,10.4,0.597701149
Calvin Ridley,Main-20-FD-17,8700,WR,ATL,17.3,0,0,51,21.8,7.5,6.6,0.38150289
Tyreek Hill,Main-20-FD-14,9000,WR,KC,17.3,0,0,50.5,28.75,-7,24.6,1.421965318
Julio Jones,Main-20-FD-09,8200,WR,ATL,17.3,0,0,50,27.3,-4.5,13.9,0.803468208
DeAndre Hopkins,Main-20-FD-05,8700,WR,ARI,17.3,0,0,48.5,27.8,-7,22.1,1.277456647
Michael Thomas,Main-19-FD-14,8600,WR,NO,17.3,0,0,45,23,-1,24.9,1.439306358
Julio Jones,Main-19-FD-05,8200,WR,ATL,17.3,0,0,49,22.5,4,5.7,0.329479769
DeAndre Hopkins,Main-19-FD-02,9000,WR,HOU,17.3,0,0,43,25.3,-7.5,6.5,0.375722543
Calvin Ridley,Main-20-FD-16,8700,WR,ATL,17.2,0,0,54,21.5,11,14.8,0.860465116
Adam Thielen,Main-20-FD-06,7400,WR,MIN,17.2,0,0,53.5,28.5,-3.5,12.6,0.73255814
Tyreek Hill,Main-20-FD-05,8200,WR,KC,17.2,0,0,54.5,32.8,-11,16.8,0.976744186
Tyreek Hill,Main-19-FD-10,8000,WR,KC,17.2,0,0,49,27,-5,27.5,1.598837209
Cooper Kupp,Main-19-FD-07,7800,WR,LAR,17.2,0,0,54.5,28.8,-3,8,0.465116279
Julio Jones,Main-19-FD-06,8500,WR,ATL,17.2,0,0,52.5,27.8,-3,14.8,0.860465116
