,race_name,series,restrictor_plate,scheduled_distance,num_infractions,num_cautions_segments
0,DAYTONA 500,1,True,500,23,7
1,Pennzoil 400 presented by Jiffy Lube,1,False,400,20,6
2,Dixie Vodka 400,1,False,400,7,6
3,Instacart 500,1,False,312,20,7
4,Folds of Honor QuikTrip 500,1,False,500,15,5
5,Goodyear 400,1,False,400,9,6
6,Coca-Cola 600,1,False,600,8,4
7,Food City Dirt Race,1,False,125,16,10
8,Quaker State 400 presented by Walmart,1,False,400,12,4
9,Blue-Emu Maximum Pain Relief 500,1,False,263,21,15
10,O’Reilly Auto Parts 253 At DAYTONA,1,False,253,13,8
11,GEICO 500,1,True,500,34,7
12,Pocono Organics CBD 325,1,False,325,23,8
13,Explore the Pocono Mountains 350,1,False,350,13,4
14,Buschy McBusch Race 400,1,False,400,21,7
15,Foxwoods Resort Casino 301,1,False,318,10,6
16,FireKeepers Casino 400,1,False,400,10,6
17,EchoPark Texas Grand Prix,1,False,231,15,6
18,Drydene 400,1,False,400,23,7
19,Ally 400,1,False,399,28,11
20,Coke Zero Sugar 400,1,True,400,36,8
21,TOYOTA OWNERS 400,1,False,300,12,5
22,Bass Pro Shops Night Race,1,False,266,16,8
23,Toyota / Save Mart 350,1,False,226,11,8
24,Autotrader EchoPark Automotive 500,1,False,501,49,11
25,Jockey Made in America 250 Presented by Kwik Trip,1,False,250,11,4
26,Xfinity 500,1,False,263,22,15
27,Go Bowling at The Glen,1,False,220,9,4
28,Verizon 200 at the Brickyard,1,False,200,17,6
29,Cook Out Southern 500,1,False,501,18,11
30,Federated Auto Parts 400 Salute to First Responders,1,False,300,22,5
31,South Point 400,1,False,400,15,4
32,YellaWood 500,1,True,500,12,5
33,Bank of America ROVAL 400,1,False,252,33,9
34,Hollywood Casino 400,1,False,400,28,7
35,NASCAR Cup Series Championship,1,False,312,11,9
36,Beef. It's What's For Dinner. 300,2,True,300,34,9
37,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,2,False,188,22,7
38,Contender Boats 250,2,False,250,22,8
39,Alsco Uniforms 300,2,False,300,23,8
40,Call 811 Before You Dig 200 presented by Arizona 811,2,False,200,13,11
41,EchoPark 250,2,False,308,32,7
42,Cook Out 250,2,False,131,18,12
43,Ag-Pro 300,2,True,300,13,4
44,Steakhouse Elite 200,2,False,199,35,9
45,Drydene 200,2,False,200,20,7
46,Pit Boss 250,2,True,157,13,4
47,Alsco Uniforms 300,2,False,300,30,10
48,B&L Transport 170 at Mid-Ohio,2,False,169,22,7
49,Alsco Uniforms 250 Powered by Cheddar’s Scratch Kitchen,2,False,250,24,10
50,Tennessee Lottery 250,2,False,250,21,8
51,Pocono Green 225 Recycled by J.P. Mascaro & Sons,2,False,225,16,6
52,Henry 180,2,False,182,22,7
53,Credit Karma Money 250,2,False,251,29,10
54,Ambetter Get Vaccinated 200,2,False,211,12,5
55,Skrewball Peanut Butter Whiskey 200,2,False,200,26,8
56,Pennzoil 150 at the Brickyard,2,False,151,23,5
57,New Holland 250,2,False,250,36,9
58,Wawa 250,2,True,250,23,7
59,Sport Clips Haircuts VFW Help A Hero 200,2,False,200,13,8
60,Go Bowling 250 ,2,False,187,29,9
61,Food City 300,2,False,159,16,10
62,Alsco Uniforms 302,2,False,302,22,6
63,Sparks 300 at Talladega,2,True,300,12,5
64,Drive for the Cure 250 presented by Blue Cross Blue Shield of North Carolina,2,False,155,34,7
65,Andy’s Frozen Custard 335,2,False,300,33,10
66,Kansas Lottery 300,2,False,300,36,10
67,Dead On Tools 250,2,False,131,27,13
68,NASCAR Xfinity Series Championship,2,False,200,14,10
69,NextEra Energy 250,3,True,250,41,10
70,BrakeBest Brake Pads 159 At DAYTONA Presented by O’Reilly,3,False,159,31,10
71,Bucked Up 200,3,False,201,40,9
72,Fr8Auctions 200,3,False,200,18,3
73,Pinty's Truck Race on Dirt,3,False,75,15,12
74,ToyotaCare 250,3,False,187,22,11
75,Wise Power 200,3,False,200,28,5
76,LiftKits4Less.com 200,3,False,200,34,12
77,Toyota Tundra 225,3,False,140,11,2
78,North Carolina Education Lottery 200,3,False,200,27,5
79,SpeedyCash.com 220,3,False,220,17,6
80,Rackley Roofing 200,3,False,199,9,5
81,CRC Brakleen 150 ,3,False,150,24,4
82,Corn Belt 150 Presented by Premier Chevy Dealers,3,False,75,10,14
83,United Rentals 176,3,False,176,30,5
84,Toyota 200 presented by CK Power,3,False,200,14,8
85,In It To Win It 200,3,False,200,27,8
86,UNOH 200 presented by Ohio Logistics,3,True,106,37,11
87,Victoria’s Voice Foundation 200 Presented by Westgate Resorts,3,False,201,33,10
88,Chevrolet Silverado 250,3,True,250,27,6
89,United Rentals 200,3,False,105,31,14
90,Lucas Oil 150,3,False,150,10,4
